Delegator,Amount
cosmos1gghpzggsrfdqz7m77hmfwm4mf870jva7tsh9rk,24.342272
cosmos1h0faau43jqrqljdt48gr0fdyeuv02qyyd2tu2z,192.3
cosmos1tmxnyxudk9szgm9p7w9gnvsmvckgtpawgd8d66,62.062568
cosmos18nmaljl38cxuhu2qmt70d7awp0xgxwaw5vkrd5,55.438801
cosmos12e9dc8z8fjugp4m8l0dkw8psjr8ty05mynruez,0.397007
cosmos1eclz9drv5lkyfmnjszqjyvm83jff27ykafr66d,1027
cosmos1qr3qa64mqj5zufe7hcgpjxggkavk7w8pa95yut,1999.9975
cosmos16v5trawx7xzke3za9sgq66rzr0dr7r7yyj6dq8,233
cosmos1xx2gxrn0x4fh94xuhnjhvpgljverxl90u9xwy2,9.822727
cosmos1cef635fprlnnmuy42fhew98smwye33l4geeydn,1.209507
cosmos1r72prruhrfdacx4gjfhgcgr0a49gtn4esmz69n,66.402358
cosmos1wtv0kp6ydt03edd8kyr5arr4f3yc52vp5g7na0,1005
cosmos1jg5flhvwhnzyefxv9d0mjcve5na3qcyvr9ah9y,0.240632
cosmos1d7hwq6st3s5nkkleaxdvcmdhpkpkudm3mal7h7,0.009999
cosmos1vzdzt52jawhk7cep96fzmhzrrtjalpjfh43rqn,0.448
cosmos1rqmuwhz90ujeruatdagax92kdyd04lrakl766t,4.988918
cosmos12sfktrtkrp8qrl9aqq377at5dxkmmn0tlvcdq9,2.042994
cosmos1yj753cnejcggayh75c4h3lgvhsvtqtcq9hwtke,8.098003
cosmos1zaapvynqrxcfravuxvv97v3ntre4nzfyus44gm,2.59695
cosmos1q9478784xhyc7sandv7qxksw76mp6k3v8twac2,0.000001
cosmos1r6u2dvrg4g5h6mm40uhg8ndfthcfzaja000z7n,0
cosmos1th76kjwm0xg2mgv85g7e92g663scsy6vqwc9n5,40.822914
cosmos18nzus5hjt522mzpccj9t7wcle23jz5h0fs3cel,63.55003
cosmos1mezhqvtzlqw42z7zt4kz6hxqupelfjfetsh3m7,1
cosmos1znz0cd2yfec3j4vw8hcavpjhtyhrnqvls7kzqx,10.49
cosmos13faat7e9ekr0ep2qea0mtrux33v30d6w4lmyhm,0.009999
cosmos15spqslaeslsdesy8n3srm956mffnffysun4kfg,0.009999
cosmos1pm8m0c4ywcecemrh7ld0c7knjmv7rpj50p308l,249.894
cosmos1rnr8jnht22l83v5agplqdnezlpk2pdf652jcd8,8.18491
cosmos1y5845wewyy02s3hsy8zdlkrsv9nnm0elle4yx7,276.205043
cosmos1yaf8qucy0wn0nz66jgmy493t6rtzrhj6vrrest,27
cosmos16pcv694fezrwdyk05vd3d8jv9n07vqmt8r9v9k,72.418
cosmos1xw8pf3j4327wck97v5pmper9fwxjdz5pcw9ef3,0.000001
cosmos1w8luvtswyudxvtgaken5qjsnf7xtlwtslp52k3,0
cosmos1k0ftqhfw6prhcf220rrul5jldnq7qtfernxk4y,0.0958
cosmos188z55862zckmn7kuwg94sl3nw9ta9pqt5jdd8n,0.9999
cosmos1psjxnw06lyxgexkghs4v57n0gtfs8rn929f3np,44.899579
cosmos19urudn90whd8ykq64wpy5enpezprhdh4clkvwa,498.538517
cosmos1rcytpgcufud42zjwrsyu0yux8rvtxjvhqnf8wd,266.759
cosmos15m3654pt0hqv3c7ury5e7zeswg6c9j2tvusczx,439.73881
cosmos1anruv2t56rzvf66rkvhn253vr0czr0qpq3rlm8,149.994
cosmos109xgw5h2ngpccw2uaj2ra6u0lsvmyk9zqymw60,0.000001
cosmos13xy472zzqdnjzrjez9ttjwwapptt4q5a9s9xwj,24.693186
cosmos1ew6l6ngjphwp0465gvlc82jcx5c7pg3fjgy5th,89.85
cosmos1m0z5lp5vty53xj9j55te5gwa3cseytqxe6nuda,0
cosmos1z6jw2ryxwur602r84vpfwdmezt52trmammy8t0,6.799306
cosmos1f037hplzldfvzf4lrwt2ped7qvcftaf97ceqcm,8.343297
cosmos1cvdp3krjzjfyj0kqlxc06dtf4ghyenh4v4sygs,108.633186
cosmos1vt9g5hsfdc5suts4r6f78sq3s3ppmhkl2xxf82,7.37801
cosmos1pxt3eant5gqtyxrwtj9cwcsrps3hsjy0jyjqqf,0
cosmos1lzfa6jjf48gy8me0kkc7rg0tqg273dx2760rcr,49.895
